quake_code,Anno,Mese,Giorno,Luogo,Magnitudo,Latitudine,Longitudine,cfti_url
42029,1559,4,11,Alta Valtiberina,5.1,43.6208,12.0908,https://storing.ingv.it/cfti/cfti5/quake.php?42029IT=
42035,1693,1,8,Calabria settentrionale,5.6,39.7956,16.1127,https://storing.ingv.it/cfti/cfti5/quake.php?42035IT=
42036,1517,3,29,Irpinia,5.4,41.0122,15.2101,https://storing.ingv.it/cfti/cfti5/quake.php?42036IT=
42037,1708,1,26,Pollino,5.5,39.9955,16.0143,https://storing.ingv.it/cfti/cfti5/quake.php?42037IT=
42038,1780,9,14,Golfo di Patti,5.4,38.0822,14.9814,https://storing.ingv.it/cfti/cfti5/quake.php?42038IT=
42044,1631,2,25,Annifo (PG),5.1,43.0549,12.8569,https://storing.ingv.it/cfti/cfti5/quake.php?42044IT=
42045,1349,9,9,Abruzzo,6,42.0219,13.9705,https://storing.ingv.it/cfti/cfti5/quake.php?42045IT=
42049,1721,6,18,Annifo (PG),5.1,43.0549,12.8569,https://storing.ingv.it/cfti/cfti5/quake.php?42049IT=
42050,1793,4,21,Afrile (PG),5.4,43.0256,12.8109,https://storing.ingv.it/cfti/cfti5/quake.php?42050IT=
42061,1731,3,29,Alta Valtiberina,5.4,43.6709,12.0406,https://storing.ingv.it/cfti/cfti5/quake.php?42061IT=
42064,1737,3,31,Campania,5.1,40.9206,14.6597,https://storing.ingv.it/cfti/cfti5/quake.php?42064IT=
42068,1741,8,6,Irpinia,5.4,41.0298,14.9324,https://storing.ingv.it/cfti/cfti5/quake.php?42068IT=
42070,1743,10,2,Amantea (CS),5.1,39.1322,16.0808,https://storing.ingv.it/cfti/cfti5/quake.php?42070IT=
42071,1744,3,21,Crotonese,5.7,39.0404,16.7814,https://storing.ingv.it/cfti/cfti5/quake.php?42071IT=
42092,1209,,,Appennino abruzzese,6,42.1673,13.8749,https://storing.ingv.it/cfti/cfti5/quake.php?42092IT=
42110,1411,1,9,Ferrara,5.1,44.8363,11.6182,https://storing.ingv.it/cfti/cfti5/quake.php?42110IT=
