quake_code,pdf_r_url
00122,https://storing.ingv.it/cfti/cfti5/pdf_R/003163-000001_R.pdf
00122,https://storing.ingv.it/cfti/cfti5/pdf_R/003163-000002_R.pdf
00122,https://storing.ingv.it/cfti/cfti5/pdf_R/003163-000003_R.pdf
00123,https://storing.ingv.it/cfti/cfti5/pdf_R/003057-000001_R.pdf
00123,https://storing.ingv.it/cfti/cfti5/pdf_R/003057-000002_R.pdf
00123,https://storing.ingv.it/cfti/cfti5/pdf_R/003057-000003_R.pdf
00123,https://storing.ingv.it/cfti/cfti5/pdf_R/003057-091411_R.pdf
00129,https://storing.ingv.it/cfti/cfti5/pdf_R/005127-091411_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-000001_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-000002_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-000003_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-050007_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-090243_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-090271_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-090371_R.pdf
00143,https://storing.ingv.it/cfti/cfti5/pdf_R/000025-091411_R.pdf
00160,https://storing.ingv.it/cfti/cfti5/pdf_R/002005-000001_R.pdf
00160,https://storing.ingv.it/cfti/cfti5/pdf_R/002005-000002_R.pdf
00160,https://storing.ingv.it/cfti/cfti5/pdf_R/002005-000003_R.pdf
00160,https://storing.ingv.it/cfti/cfti5/pdf_R/002005-091411_R.pdf
00160,https://storing.ingv.it/cfti/cfti5/pdf_R/002005-095390_R.pdf
00169,https://storing.ingv.it/cfti/cfti5/pdf_R/003061-000001_R.pdf
00169,https://storing.ingv.it/cfti/cfti5/pdf_R/003061-000002_R.pdf
00169,https://storing.ingv.it/cfti/cfti5/pdf_R/003061-000003_R.pdf
00169,https://storing.ingv.it/cfti/cfti5/pdf_R/003061-050007_R.pdf
00169,https://storing.ingv.it/cfti/cfti5/pdf_R/003061-091411_R.pdf
00169,https://storing.ingv.it/cfti/cfti5/pdf_R/003061-160059_R.pdf
00189,https://storing.ingv.it/cfti/cfti5/pdf_R/000031-000001_R.pdf
00189,https://storing.ingv.it/cfti/cfti5/pdf_R/000031-091411_R.pdf
00232,https://storing.ingv.it/cfti/cfti5/pdf_R/000750-000001_R.pdf
00232,https://storing.ingv.it/cfti/cfti5/pdf_R/000750-000002_R.pdf
